constructo,cond,id_celda_real,variante,nulo,canal,k,estimador,n_trazas,n_pares,im_obs,umbral_p95,nulo_media,nulo_sd,p_perm,rechaza,p_holm,confirma
E215C,10uM,0,centros_4_8_16,paridad,dwell,8,nsb,194,1287,0.0313119,0.00873181,0.00339266,0.00281942,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,paso,8,plugin,194,1287,0.0964703,0.0305262,0.021803,0.00521781,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,paso,8,mm,194,1287,0.0942284,0.0282843,0.0195611,0.00521781,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,paso,8,pt,194,1287,0.0942284,0.0282843,0.0195611,0.00521781,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,paso,8,nsb,194,1287,0.0931894,0.0275626,0.0189397,0.00519056,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell_paso,8,plugin,194,1287,0.169272,0.0215361,0.0136735,0.00442361,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell_paso,8,mm,194,1287,0.161426,0.0136892,0.00582663,0.00442361,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell_paso,8,pt,194,1287,0.161426,0.0136892,0.00582663,0.00442361,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell_paso,8,nsb,194,1287,0.157202,0.0112723,0.00347761,0.00440231,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,evento,4,plugin,194,1287,0.296344,0.0999197,0.0842359,0.00964322,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,evento,4,mm,194,1287,0.237493,0.0388125,0.0223065,0.00995261,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,evento,4,pt,194,1287,0.229086,0.0326612,0.0169785,0.00964427,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,evento,4,nsb,194,1287,0.224788,0.0273332,0.0113776,0.00982474,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,orden,dwell,4,plugin,194,1287,0.023361,0.0106837,0.00609305,0.00260697,0.000999001,True,0.002997,True
