id_sint,id_celda_real,constructo,cond,forma_gamma,mezcla,id_cond,modo,delta,rho,canal,k,estimador,n_replicas,tasa
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,evento,4,nsb,500,0.142
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,evento,8,plugin,500,0.116
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,evento,8,mm,500,0.118
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,evento,8,pt,500,0.116
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,evento,8,nsb,500,0.124
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell,4,plugin,500,0.47
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell,4,mm,500,0.47
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell,4,pt,500,0.47
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell,4,nsb,500,0.47
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell,8,plugin,500,0.28
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell,8,mm,500,0.28
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell,8,pt,500,0.28
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell,8,nsb,500,0.288
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,paso,4,plugin,500,0.082
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,paso,4,mm,500,0.082
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,paso,4,pt,500,0.082
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,paso,4,nsb,500,0.082
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,paso,8,plugin,500,0.082
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,paso,8,mm,500,0.082
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,paso,8,pt,500,0.082
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,paso,8,nsb,500,0.082
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell_paso,4,plugin,500,0.042
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell_paso,4,mm,500,0.042
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell_paso,4,pt,500,0.042
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell_paso,4,nsb,500,0.042
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell_paso,8,plugin,500,0.066
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell_paso,8,mm,500,0.066
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell_paso,8,pt,500,0.066
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,dwell_paso,8,nsb,500,0.064
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,evento,4,plugin,500,0.676
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,evento,4,mm,500,0.678
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,evento,4,pt,500,0.678
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,evento,4,nsb,500,0.674
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,evento,8,plugin,500,0.33
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,evento,8,mm,500,0.318
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,evento,8,pt,500,0.33
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,evento,8,nsb,500,0.386
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell,4,plugin,500,0.996
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell,4,mm,500,0.996
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell,4,pt,500,0.996
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell,4,nsb,500,0.996
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell,8,plugin,500,0.952
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell,8,mm,500,0.952
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell,8,pt,500,0.952
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell,8,nsb,500,0.956
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,paso,4,plugin,500,0.058
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,paso,4,mm,500,0.058
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,paso,4,pt,500,0.058
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,paso,4,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,paso,8,plugin,500,0.058
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,paso,8,mm,500,0.058
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,paso,8,pt,500,0.058
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,paso,8,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell_paso,4,plugin,500,0.046
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell_paso,4,mm,500,0.046
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell_paso,4,pt,500,0.046
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell_paso,4,nsb,500,0.046
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell_paso,8,plugin,500,0.044
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell_paso,8,mm,500,0.044
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell_paso,8,pt,500,0.044
0,0,E215C,10uM,1,equilibrada,8,ar1,0,0.2,dwell_paso,8,nsb,500,0.04
0,0,E215C,10uM,1,equilibrada,9,ar1,0,0.35,evento,4,plugin,500,1
0,0,E215C,10uM,1,equilibrada,9,ar1,0,0.35,evento,4,mm,500,1
0,0,E215C,10uM,1,equilibrada,9,ar1,0,0.35,evento,4,pt,500,1
0,0,E215C,10uM,1,equilibrada,9,ar1,0,0.35,evento,4,nsb,500,1
